,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label
fixed_acidity,1.0,-0.2561,0.6717,0.1148,0.0937,-0.1538,-0.1132,0.668,-0.683,0.183,-0.0617,0.1241,0.0951
volatile_acidity,-0.2561,1.0,-0.5525,0.0019,0.0613,-0.0105,0.0765,0.022,0.2349,-0.261,-0.2023,-0.3906,-0.3214
citric_acid,0.6717,-0.5525,1.0,0.1436,0.2038,-0.061,0.0355,0.3649,-0.5419,0.3128,0.1099,0.2264,0.1591
residual_sugar,0.1148,0.0019,0.1436,1.0,0.0556,0.187,0.203,0.3553,-0.0857,0.0055,0.0421,0.0137,-0.0022
chlorides,0.0937,0.0613,0.2038,0.0556,1.0,0.0056,0.0474,0.2006,-0.265,0.3713,-0.2211,-0.1289,-0.1095
free_sulfur_dioxide,-0.1538,-0.0105,-0.061,0.187,0.0056,1.0,0.6677,-0.0219,0.0704,0.0517,-0.0694,-0.0507,-0.0618
total_sulfur_dioxide,-0.1132,0.0765,0.0355,0.203,0.0474,0.6677,1.0,0.0713,-0.0665,0.0429,-0.2057,-0.1851,-0.232
density,0.668,0.022,0.3649,0.3553,0.2006,-0.0219,0.0713,1.0,-0.3417,0.1485,-0.4962,-0.1749,-0.1591
pH,-0.683,0.2349,-0.5419,-0.0857,-0.265,0.0704,-0.0665,-0.3417,1.0,-0.1966,0.2056,-0.0577,-0.0033
sulphates,0.183,-0.261,0.3128,0.0055,0.3713,0.0517,0.0429,0.1485,-0.1966,1.0,0.0936,0.2514,0.2181
alcohol,-0.0617,-0.2023,0.1099,0.0421,-0.2211,-0.0694,-0.2057,-0.4962,0.2056,0.0936,1.0,0.4762,0.4348
quality,0.1241,-0.3906,0.2264,0.0137,-0.1289,-0.0507,-0.1851,-0.1749,-0.0577,0.2514,0.4762,1.0,0.8483
quality_label,0.0951,-0.3214,0.1591,-0.0022,-0.1095,-0.0618,-0.232,-0.1591,-0.0033,0.2181,0.4348,0.8483,1.0
