,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label
fixed_acidity,1.0,-0.2783,0.6617,0.2207,0.2509,-0.1751,-0.0884,0.6231,-0.7067,0.2127,-0.0666,0.1141,0.0811
volatile_acidity,-0.2783,1.0,-0.6103,0.0324,0.1588,0.0212,0.0941,0.025,0.2336,-0.3256,-0.2249,-0.3806,-0.3283
citric_acid,0.6617,-0.6103,1.0,0.1764,0.1126,-0.0765,0.0094,0.3523,-0.548,0.3311,0.0965,0.2135,0.1582
residual_sugar,0.2207,0.0324,0.1764,1.0,0.213,0.0746,0.1454,0.4223,-0.09,0.0383,0.1165,0.032,0.0139
chlorides,0.2509,0.1588,0.1126,0.213,1.0,0.0008,0.13,0.4114,-0.2344,0.0208,-0.2845,-0.1899,-0.1738
free_sulfur_dioxide,-0.1751,0.0212,-0.0765,0.0746,0.0008,1.0,0.7897,-0.0412,0.1157,0.0459,-0.0814,-0.0569,-0.0534
total_sulfur_dioxide,-0.0884,0.0941,0.0094,0.1454,0.13,0.7897,1.0,0.1293,-0.0098,-0.0005,-0.2578,-0.1967,-0.1985
density,0.6231,0.025,0.3523,0.4223,0.4114,-0.0412,0.1293,1.0,-0.3121,0.1615,-0.4624,-0.1771,-0.1644
pH,-0.7067,0.2336,-0.548,-0.09,-0.2344,0.1157,-0.0098,-0.3121,1.0,-0.0803,0.1799,-0.0437,-0.0052
sulphates,0.2127,-0.3256,0.3311,0.0383,0.0208,0.0459,-0.0005,0.1615,-0.0803,1.0,0.2073,0.3771,0.334
alcohol,-0.0666,-0.2249,0.0965,0.1165,-0.2845,-0.0814,-0.2578,-0.4624,0.1799,0.2073,1.0,0.4785,0.4438
quality,0.1141,-0.3806,0.2135,0.032,-0.1899,-0.0569,-0.1967,-0.1771,-0.0437,0.3771,0.4785,1.0,0.9331
quality_label,0.0811,-0.3283,0.1582,0.0139,-0.1738,-0.0534,-0.1985,-0.1644,-0.0052,0.334,0.4438,0.9331,1.0
