Feature,Mean,Std,Median,IQR,Min,Max,Skewness,Kurtosis
fixed_acidity,8.3196,1.7411,7.9,2.1,4.6,15.9,0.9818,1.1249
volatile_acidity,0.5278,0.1791,0.52,0.25,0.12,1.58,0.671,1.218
citric_acid,0.271,0.1948,0.26,0.33,0.0,1.0,0.318,-0.7903
residual_sugar,2.5388,1.4099,2.2,0.7,0.9,15.5,4.5364,28.5244
chlorides,0.0875,0.0471,0.079,0.02,0.012,0.611,5.675,41.5817
free_sulfur_dioxide,15.8749,10.4602,14.0,14.0,1.0,72.0,1.2494,2.0135
total_sulfur_dioxide,46.4678,32.8953,38.0,40.0,6.0,289.0,1.5141,3.7942
density,0.9967,0.0019,0.9968,0.0022,0.9901,1.0037,0.0712,0.9274
pH,3.3111,0.1544,3.31,0.19,2.74,4.01,0.1935,0.8007
sulphates,0.6581,0.1695,0.62,0.18,0.33,2.0,2.4264,11.6799
alcohol,10.423,1.0657,10.2,1.6,8.4,14.9,0.86,0.1957
