Feature,Standard_Mean,Standard_Std,Standard_Median,Good_Mean,Good_Std,Good_Median,Mean_Difference,Relative_Change_%
fixed_acidity,8.1422,1.5724,7.8,8.474,1.8628,8.0,0.3318,4.08
volatile_acidity,0.5895,0.178,0.59,0.4741,0.162,0.46,-0.1154,-19.57
citric_acid,0.2378,0.1834,0.22,0.2999,0.1999,0.31,0.0621,26.13
residual_sugar,2.5421,1.3936,2.2,2.536,1.4248,2.2,-0.0061,-0.24
chlorides,0.093,0.0558,0.081,0.0827,0.0373,0.077,-0.0103,-11.11
free_sulfur_dioxide,16.5672,10.8903,14.0,15.2725,10.0385,13.0,-1.2947,-7.81
total_sulfur_dioxide,54.6452,36.7205,45.0,39.352,27.2533,33.0,-15.2931,-27.99
density,0.9971,0.0016,0.9969,0.9965,0.0021,0.9964,-0.0006,-0.06
pH,3.3117,0.1543,3.31,3.3106,0.1546,3.31,-0.001,-0.03
sulphates,0.6185,0.1762,0.58,0.6926,0.1556,0.66,0.0741,11.98
alcohol,9.9265,0.758,9.7,10.855,1.1061,10.8,0.9286,9.35
